"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.2","EN_INDCi2030_1200","World","Final Energy|Electricity","EJ/yr","","",66.1256,74.3472,88.2133,102.6152,117.536,128.8858,153.6826,168.1206,178.9806,198.8818,234.9481,262.0092,281.692,293.6105,305.212,315.822,325.7524,334.9246,344.0681
"POLES ENGAGE","EN_NPi2020_1800","World","Final Energy|Electricity","EJ/yr","",54.15902709960938,63.93017578125,72.0828628540039,83.22787475585938,93.35760498046876,105.0343322753906,119.0650482177734,133.1923675537109,146.1767120361328,159.8857727050781,"",193.8469390869141,"",227.1477203369141,"",257.3172607421875,"",280.2218627929688,"",292.5731506347656
"REMIND 2.1","LeastTotalCost_CBA_brkSR15_SSP2_P50","World","Final Energy|Electricity","EJ/yr","",54.5046,63.4634,72.4661,84.0155,96.6906,113.9233,128.2635,146.1492,167.3445,192.0402,214.3628,237.5892,"",286.9015,"",328.6695,"",357.9403,"",384.3341
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_1400f","World","Final Energy|Electricity","EJ/yr",45.60345319328286,54.37043625306626,64.30586838048906,72.30223561045895,85.94045362879577,91.94925661876184,100.8210320710114,110.9238511711786,123.0993229594951,141.2856249484464,163.5203219538262,187.8539759160688,210.328106755825,"",256.8474386924408,"",302.0279322112565,"",348.963777032543,"",391.5532674721844
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Final Energy|Electricity","EJ/yr","","",63.4483,72.9647,86.5762,91.8348,103.611,124.362,147.1031,164.6533,180.3281,190.7261,200.7487,"",227.3838,"",248.7835,"",263.9295,"",285.8352
"REMIND 1.7","ADVANCE_2020_WB2C","World","Final Energy|Electricity","EJ/yr","",54.4048,63.236,74.9952,91.1921,101.578,120.5924,147.3666,181.7265,220.7226,260.5755,296.5113,327.9454,"",380.7674,"",435.9317,"",479.7471,"",531.2134
"GCAM 5.3","R_MAC_55_n0","World","Final Energy|Electricity","EJ/yr","",55.725024063347,66.072530869092,74.76684753505,85.5382174975356,96.8335323017959,119.419762077337,142.121479771377,168.171644736847,200.410099830765,237.352660775234,278.978070165571,299.148423354251,318.448957015531,334.923607116051,349.945822487181,362.850003553354,374.385525245296,382.950499455841,389.021770000695,394.871219737425
"REMIND-MAgPIE 1.7-3.0","EMF33_tax_lo_full","World","Final Energy|Electricity","EJ/yr","",54.40499999999999,63.9112,77.8638,96.698,112.0415,127.0422,146.6547,168.6343,190.828,218.2989,245.9077,274.4883,"",325.1727,"",375.8573999999999,"",412.5849,"",446.1539999999999
"TIAM-ECN 1.1","EN_INDCi2030_1600","World","Final Energy|Electricity","EJ/yr","",54.5,64.46,"",82.56237612835467,"",102.793242149825,"",123.0085198647451,"",147.7862388299029,"",179.3106569630519,"",221.1531883069613,"",261.0724831348454,"",288.8171744767024,"",311.0197749932441
"IMAGE 3.2","SSP1_SPA1_19I_D","World","Final Energy|Electricity","EJ/yr","",51.16076171875,60.922890625,70.6291328125,74.8372265625,85.0863828125,94.80340625,108.163796875,125.4008984375,140.1495,154.167296875,165.843796875,175.32809375,181.87590625,186.730703125,190.712296875,192.772796875,192.087296875,189.360296875,186.222203125,181.48559375
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_3000f_NDCp","World","Final Energy|Electricity","EJ/yr",45.60345319328286,54.37043625306626,64.30586838048906,72.30223561045895,85.94045362879577,93.01636971872291,102.9346720719538,111.331572308051,119.7684702943039,131.1711487874873,147.0251679437091,169.1665668688095,191.5019091961901,"",235.9196188707365,"",276.0311644245522,"",320.1340700712116,"",368.5844469460182
"IMAGE 3.2","SSP1_SPA1_34I_RE","World","Final Energy|Electricity","EJ/yr","",51.25223828125,61.25337890625,71.27253125,75.95567187500001,84.5716171875,102.9845,125.089203125,149.041296875,173.431796875,193.512203125,207.725296875,218.651,228.05790625,233.971703125,237.142796875,238.71209375,237.30290625,234.48240625,229.6625,224.910203125
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Final Energy|Electricity","EJ/yr","",54.5046,63.5357,71.8144,79.6471,86.6452,107.8794,134.2995,163.1947,193.3368,222.5013,247.1321,269.6104,"",315.8355,"",349.7097,"",374.0532,"",404.5348
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_1200f","World","Final Energy|Electricity","EJ/yr",45.60345319328286,54.37043625306626,64.30586838048906,72.30223561045895,85.94045362879577,91.77981100035494,99.99281314341576,111.431872364454,126.9489931874589,148.1610103854222,170.9178488636886,191.2287264238628,210.3130258611499,"",259.3480952381477,"",308.9176850444626,"",363.9705322807019,"",414.9080712374903
"REMIND-MAgPIE 1.7-3.0","EMF33_Med2C_cost100","World","Final Energy|Electricity","EJ/yr","",54.40499999999999,63.9112,77.0077,93.5746,108.9519,124.6057,142.2537,165.3115,194.3087,230.9514,263.563,291.9245,"",348.3243,"",410.9008000000001,"",456.0825,"",507.5112
"REMIND 2.1","TechCost-SSP2-B1100-bioH","World","Final Energy|Electricity","EJ/yr","",54.5046,63.4722,72.4067,84.0969,97.0676,115.3972,134.6759,158.9574,190.2604,224.7095,255.4637,286.0644,"",342.6515,"",388.8409,"",422.2903,"",456.3651
"AIM/CGE 2.2","EN_INDCi2030_1800f","World","Final Energy|Electricity","EJ/yr","","",66.1256,74.3472,88.2133,102.6152,117.536,128.8858,140.1123,151.8428,163.7233,175.8345,189.3043,209.6071,234.0452,262.864,285.8081,306.8736,321.38,331.8622,341.6051
"IMAGE 3.0.2","EMF33_WB2C_nofuel","World","Final Energy|Electricity","EJ/yr",45.13605078125,53.64262109375,63.58371875,"",79.1243671875,"",90.02234375,"",92.9808671875,"",115.149703125,"",148.44359375,"",179.457703125,"",207.392296875,"",232.7175,"",254.02909375
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2100_NDCp","World","Final Energy|Electricity","EJ/yr","",54.5046,63.4797,72.0233,83.5971,97.7204,119.0446,139.0594,157.6997,183.5919,211.052,233.1238,257.9664,"",307.9559,"",349.1253,"",380.6996,"",414.6597
"COFFEE 1.1","EN_INDCi2030_900f","World","Final Energy|Electricity","EJ/yr","","",62.15960801664,67.1834539656,74.69690028912,86.81751906191998,91.4804613504,88.227991007712,93.554863069392,97.532290028376,103.036784652288,"",153.629015336784,"",252.7072496455608,"",323.347092666192,"",354.936154808664,"",378.297460754136
"AIM/CGE 2.2","EN_INDCi2030_900f","World","Final Energy|Electricity","EJ/yr","","",66.1256,74.3472,88.2133,102.6152,117.536,128.8858,155.7985,178.1359,189.5127,214.0044,246.4962,275.4223,302.0766,315.6717,326.4354,336.4553,346.1489,355.1799,363.4641
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_1800f_COV","World","Final Energy|Electricity","EJ/yr",45.60345319328286,54.37043625306626,64.30586838048906,72.30223561045895,79.87818765640262,79.61372631106622,88.38993981832421,99.59117839001104,111.8770769158923,129.032987181289,149.1593614675777,170.3432193407679,187.5573860588094,"",243.3220684953981,"",294.0742971346861,"",336.5299940720964,"",369.9770920297274
"POLES ENGAGE","EN_NPi2020_3000","World","Final Energy|Electricity","EJ/yr","",54.15902709960938,63.93017578125,72.0828628540039,83.22787475585938,93.35760498046876,105.0343322753906,119.1936569213867,134.0676422119141,148.4611053466797,163.0433502197266,"",195.8124694824219,"",228.5955657958984,"",259.0815734863281,"",281.0033874511719,"",291.4719543457031
"GEM-E3_V2021","EN_INDCi2030_1000_COV","World","Final Energy|Electricity","EJ/yr","","","",83.21729139977066,86.29216293869354,96.67806302002076,106.7967910120968,123.9180087205041,141.3020664642587,161.4141528947775,175.2430884425282,187.2012639964297,199.9557615173131,214.3801372495577,230.49284217017,246.4482985915508,263.6708380933507,280.4149456439329,296.7807349166862,313.8986481716842,333.5540134327443
"WITCH 5.0","CO_Bridge","World","Final Energy|Electricity","EJ/yr","",54.4840938542131,63.8994148058312,73.0591386961475,92.2020582157807,97.2193576306808,105.606040536484,113.464349502238,147.37750993996,189.453500712689,239.88073105811,294.058479982125,344.01196547904,390.291442770599,438.346218450021,484.700936619355,529.961433273599,566.15696688557,598.820789297606,630.749128457297,663.302797118287
"AIM/CGE 2.2","EN_NPi2020_1600f","World","Final Energy|Electricity","EJ/yr","","",66.1256,74.3472,88.2133,103.3556,115.1406,126.9473,139.8382,152.7079,165.4286,178.3603,194.5876,214.769,238.5231,265.5086,290.4049,310.8616,325.5514,336.0258,345.6489
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Final Energy|Electricity","EJ/yr","",54.5046,63.4634,72.4588,83.9857,90.9021,107.7957,130.504,161.3027,198.8466,234.4053,265.788,295.7396,"",357.0239,"",410.9421,"",455.0104,"",503.01
