"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"WITCH 5.0","EN_INDCi2030_2500f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",12366.20921501164,13397.24123580147,14340.31998976194,14781.44929134829,12612.65140797849,11753.06723557446,8275.12400681157,5527.649220444971,3804.984340753457,2517.588433515843,1930.242955808205,1404.013674081696,1061.26217119586,887.282887697939,678.7032645562073,412.7908619612016,-42.2832227883499,-448.5137080872499,-1077.03968963091
"REMIND 1.7","ADVANCE_2030_Price1.5C","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9321.4476,10590.2929,11765.9545,12464.5016,11922.22,11279.95,7504.459,3783.488,596.7472,-665.7612,-1005.914,-1129.186,"",-1100.472,"",-861.2055,"",-412.0232,"",-67.4153
"AIM/CGE 2.2","EN_INDCi2030_1200","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",11463.3257,12663.2588,14759.4334,16203.5947,16929.0641,14897.388,9178.9477,6243.1999,3266.7134,540.2435,-1974.2377,-5030.1754,-6184.4932,-6508.1794,-6825.3265,-7122.6572,-7419.2579,-7674.1775,-7853.8178
"POLES ENGAGE","EN_NPi2020_1800","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10203.7490234375,11570.8427734375,12363.328125,12777.8701171875,12940.880859375,12624.447265625,12008.474609375,10901.876953125,8773.69140625,6826.15771484375,"",4368.21240234375,"",3459.272705078125,"",3349.20751953125,"",3276.36328125,"",3047.13720703125
"REMIND 2.1","LeastTotalCost_CBA_brkSR15_SSP2_P50","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9313.0082,10752.1746,11481.2566,11487.6783,10143.4078,8135.2256,5087.5731,3510.3012,2514.9923,2002.3355,1557.1441,1311.6335,"",1254.2983,"",1457.5224,"",1582.8253,"",1568.0961
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_1400f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13340.63523463972,11939.15858661487,10968.455638068,7050.135620140743,5818.996272887136,5453.469066515618,4023.539903712116,2879.186077223529,1815.028441473171,"",156.8813402928303,"",-186.0662367370608,"",-93.0865487295166,"",-95.06030500349269
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",10801.7038,11756.6817,13050.4972,9215.8097,3460.336,1114.9102,490.8799,-38.175,-226.8206,-351.666,-432.5986,"",-474.3426,"",-454.1576,"",-460.0212,"",-481.703
"REMIND 1.7","ADVANCE_2020_WB2C","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9321.4476,10590.2929,11765.9545,12464.5016,9400.0218,6126.1165,3194.9801,1542.054,862.7924,558.4223,398.2575,271.4001,"",104.0266,"",-43.9,"",-131.6334,"",-150.4176
"GCAM 5.3","R_MAC_55_n0","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10175.7133376813,11696.2659975859,12649.7131974087,14259.2271649954,12684.2311971134,9513.15032021293,5620.15039540584,2054.54386992163,-602.688739835962,-2078.95900089283,-3176.77194618108,-3350.14295434225,-3481.27981767496,-3579.20406810314,-3617.07590288301,-3618.15914884412,-3698.98186473827,-3800.97103279015,-3845.9241314943,-3938.25421500456
"REMIND-MAgPIE 1.7-3.0","EMF33_tax_lo_full","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9321.4476,10859.1434,13197.8374,15846.1874,16825.0963,16088.7446,14505.2836,11988.6884,8341.1198,5078.6914,3012.113499999999,1965.24,"",1316.9237,"",1255.9845,"",1207.7045,"",1079.5788
"TIAM-ECN 1.1","EN_INDCi2030_1600","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9515.552782594012,12946.46820671218,"",12786.29761030361,"",8118.062231773367,"",3154.950375691542,"",1107.993224245335,"",-1125.591629823382,"",-2069.384220304172,"",-2386.625453351023,"",-1628.152829642981,"",-1062.58658030658
"IMAGE 3.2","SSP1_SPA1_19I_D","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9317.274968676413,10864.9052788757,11790.70210564036,13077.42699106211,12920.7316251421,8661.748012694374,2530.32366457736,-1421.249518921039,-3145.966927496487,-4037.234545121049,-4801.811576326116,-5462.108612557102,-6237.088203997184,-6336.410602509834,-6565.522194505557,-6498.250206902294,-6679.83802220353,-6528.360764779075,-6280.087113951349,-5623.680274203057
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_3000f_NDCp","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13340.63523463972,11809.65358227905,10804.14610403293,11306.14483756715,10735.85035557443,9926.22952714514,10081.55025298147,11188.78045107139,12017.07659509754,"",11449.27005523678,"",8974.196860224318,"",2816.646186289411,"",-162.1746267207344
"IMAGE 3.2","SSP1_SPA1_34I_RE","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9316.439232083723,10863.44973345015,11789.58749878296,13129.24091140577,12892.79564338907,12378.17160401022,11638.65224626171,10854.10364567566,10130.59266500381,9462.731600667988,8808.008035824734,8730.703275202677,8221.942504994478,8012.433132264251,7389.151097015735,7397.54430520233,6147.405187847775,4555.041552004061,3929.478725154792,3807.217280416098
