"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.0.1","EMF30_Slower-to-faster","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",11050.169921875,12583.259765625,13926.1103515625,14372.509765625,14586.419921875,12855.5498046875,8001.01513671875,6091.89013671875,3086.32690429688,503.865997314453,"",-2351.13891601562,"",-3595.02490234375,"",-4292.67919921875,"",-4941.783203125,"",-5682.2431640625
"IMAGE 3.0.1","SSP1-26","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",11050.400390625,12583.5703125,"",14805.650390625,"",13749.9404296875,"",9368.564453125,"",4641.80419921875,"",216.293899536133,"",-3176.85693359375,"",-7540.3818359375,"",-11200,"",-10210.91015625
"IMAGE 3.0.2","EMF33_Med2C_nofuel","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",9194.140625,11050.400390625,12583.5703125,"",13975.98046875,"",11667.9697265625,"",6357.35107421875,"",-25.9803199768066,"",-2580.76000976562,"",-4424.52392578125,"",-5460.18310546875,"",-6688.6591796875,"",-7411.369140625
"WITCH 5.0","EN_NPi2020_800","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",12378.1437664482,13397.41539038219,14810.25688696252,5852.804414080415,2684.960594882303,775.9162538086294,-382.9210056440541,-1554.370108433489,-2383.530564774524,-2925.30121047086,-3478.867578414037,-4302.833913793151,-5407.301208241732,-6448.595772502573,-6974.969205126692,-7674.331140473726,-8392.15403098274,-9384.5953013058,-10066.90359153316
"WITCH 5.0","EN_INDCi2030_3000f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",12366.20921501164,13397.24123580147,14340.31998976194,14781.44929134829,12612.65140797849,12971.31250120581,10959.31103602927,8856.12193857759,6796.451678356846,5426.392848209419,4838.091908930355,4298.293187930847,3665.741209301046,3459.279201137401,3277.851870761142,3211.165239398677,3036.615247855515,2871.995530981214,2768.657895222845
"GEM-E3_V2021","EN_NPi2020_1000f_COV","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","","",12395.23196576639,11695.55563411366,11354.57437745718,9356.824238000074,6618.707140866509,3417.010680092753,2461.858108127629,159.5506556952699,-879.4608666147527,-1978.961509163814,-2926.031891091697,-3576.709919511168,-4696.877564888619,-4647.478333519482,-5006.373682523448,-5239.802301291411,-5650.317748633,-5590.172428138693
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_1200","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,10966.1849,11556.0808,11884.1622,11172.2029,9976.6121,5947.3208,2724.3883,1697.8764,1285.6466,1031.4115,861.2843,"",840.6256,"",718.8349,"",417.878,"",-22.155
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,10966.1849,11556.0808,11884.1622,8243.7778,3733.3015,1540.5024,1105.1286,732.7007,416.1203,165.0483,-40.1675,"",-313.5977,"",-433.6394,"",-438.5398,"",-442.9563
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_cost100","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8819.76386158977,10988.3299064438,11692.174667465,"",10390.5530693164,"",4953.823601450179,"",1602.46663732642,"",-121.557265364404,"",-840.450468989071,"",-477.936247168146,"",-3.36549095220533,"",-41.8701035442753,"",72.96141325176771
"POLES ENGAGE","EN_NPi2020_1400f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10203.7490234375,11570.8427734375,12363.328125,12777.8701171875,12940.880859375,12698.7763671875,11258.318359375,8893.5810546875,6524.26025390625,4741.9013671875,"",2964.5986328125,"",2327.440673828125,"",1716.947143554688,"",877.2946166992188,"",-216.8440551757812
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_1800","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,10966.1849,11556.0808,11884.1622,11172.2029,9976.6121,7974.5584,5309.6082,3522.5391,2518.3296,1903.6066,1549.784,"",1276.1229,"",1327.3094,"",1431.3353,"",1590.1205
"AIM/CGE 2.0","SSP1-26","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9783.3702,11513.6056,"",13851.6147,"",12516.7096,"",6941.5522,"",3321.5838,"",595.5957,"",-538.1213,"",-761.1178,"",-1074.1453,"",-1201.4616
"GCAM 5.3","R_MAC_65_n0","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10175.7133376813,11696.2659975859,12649.7131974087,14259.227065482,13177.4192739551,10995.2117439686,7934.02485579813,4890.34593706416,2062.87626708637,35.7247785554916,-1372.28580980246,-2449.93926264372,-3411.41631365589,-3568.90499798863,-3540.67386179654,-3376.89965654923,-3323.07143699527,-3484.54272611296,-3734.05692771726,-4007.03646901817
"REMIND 1.7","ADVANCE_2020_Med2C","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9321.4476,10590.2929,11765.9545,12464.5016,10837.3701,8437.6844,5409.824000000001,3295.5821,1902.9312,1293.4338,1039.0695,987.3187,"",849,"",633.5799,"",338.9553,"",122.6683
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2100_COV","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,10987.8725,11567.6458,11045.8811,10291.0795,9587.9739,7523.491,4948.4997,3684.926,3057.9307,2281.3587,1782.0637,"",1347.1692,"",1285.3096,"",1272.7262,"",1367.9071
"REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_no-transfer_def","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9313.0082,10979.053,11760.8922,11610.0512,10261.0777,8760.9593,6057.2105,3857.5216,2436.9066,1401.9217,216.1956,-396.5367,"",-102.8093,"",499.7998,"",820.1665,"",770.275
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600f_DR3p","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13072.2130480934,6428.716691331849,3611.229616756113,2238.929460458674,1255.672426211489,569.4010935637989,155.2814315629329,83.4608403384988,69.67114642709592,"",-77.1732037814189,"",-40.70749127505771,"",-46.58116103262515,"",-7.240565628298747
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13070.87423099472,5518.125637431292,1648.988978024356,402.0072332167763,140.1761844777023,67.38923284264227,27.32574622543105,11.15006767228684,-1.38488622227568,"",-84.14864455976891,"",-315.0364562397198,"",-232.0173245615469,"",-132.5393586249455
"IMAGE 3.2","SSP1_SPA1_26I_RE","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9316.439232083723,10863.44973345015,11789.58749878296,13129.24091140577,12869.19657506316,11147.00396957008,8315.424363574348,5818.306804232245,3148.397644647078,3027.798712528825,2516.457081069833,2535.846432280601,2269.184828010855,1398.757845290505,17.18336700928458,-943.4497953318923,-1279.044479247976,-1989.039540471654,-2062.438368984796,-2366.477767841579
"REMIND 2.1","R2p1_SSP2-PkBudg1300","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,11042.9875,11579.018,11648.6893,10351.3807,8040.3552,4690.8767,2578.6597,1497.7601,1109.0441,874.9834,757.192,"",765.3934,"",738.9588,"",595.2851,"",271.9157
"WITCH 5.0","CO_GPP","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10766.06480228051,12308.66469180491,13379.76335180271,14128.25752396837,12830.64165080812,10720.79581875614,6808.293296425376,4259.553917952806,2546.350653681357,1156.608253688344,235.0690493047358,-403.0911528823943,-1055.016695254058,-1559.757679689112,-2057.559741995969,-2667.926700060026,-3404.091601047623,-4148.047129695445,-4518.082186936672,-3725.045978411061
"POLES EMF30","EMF30_Slower-to-faster","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10222.365,11611.917,12383.377,13245.281,13160.855,12627.243,8672.206,3181.6885,-476.501125,-3986.22125,"",-8685.674,"",-9810.854,"",-10270.906,"",-9922.131,"",-10237.209
"WITCH 5.0","EN_NPi2020_700f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",12366.20921501164,13397.24123580147,14818.15082113913,6131.506600816379,2865.419730093507,754.43211607993,-421.4778835357912,-1700.029568760126,-2407.119796027775,-2998.927532017278,-3764.798641012844,-4198.388518019247,-4840.340079926928,-5760.782377840726,-6641.104596371197,-7755.039249304282,-9086.898394677322,-10781.32189824428,-12612.91220293414
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9321.4476,10537.8253,11823.6361,12392.8,9191.691,5507.821999999999,2621.705,1360.238,1036.272,881.4648,687.8243,481.0015,"",172.663,"",24.0051,"",0.332,"",0.2281
"POLES ENGAGE","EN_NPi2020_1800f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10203.7490234375,11570.8427734375,12363.328125,12777.8701171875,12940.880859375,12624.447265625,12008.474609375,10901.876953125,8773.69140625,6826.15771484375,"",4368.21240234375,"",3459.272705078125,"",3349.20751953125,"",3276.36328125,"",3047.13720703125
"GEM-E3_V2021","EN_INDCi2030_1800f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","","",12395.23196576639,12598.87280746275,12747.26401056151,12048.7144766169,7691.728426024632,6019.910490494048,3922.516970856578,2954.61936942496,1645.572611902072,604.8977869907033,-210.230930025153,-653.6298932114886,-1306.644789384047,-1858.992210306954,-2585.318735468184,-2896.978223730491,-3096.911797312659,-3384.180988197485
"REMIND 2.1","R2p1_SSP5-PkBudg1300","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,11042.9875,11579.018,11648.6893,9951.0674,8902.5358,6194.3611,3212.7057,827.1572,-331.3321,-684.3752,-666.0519,"",-389.2036,"",124.7649,"",630.3753,"",816.3878
"MESSAGE-GLOBIOM 1.0","EMF33_Med2C_full","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8819.76386158977,10988.3299064438,11692.174667465,"",10390.5530693164,"",8048.87034488155,"",5578.03813142629,"",3403.30959595728,"",-12.0073228242822,"",-424.587216391127,"",-402.485904346504,"",-157.18429458883,"",-25.5433687245109
"AIM/CGE 2.2","EN_NPi2020_800f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",11463.3257,12663.2588,14759.4334,13075.9694,10138.8419,8082.5924,5827.6805,3341.7024,1738.3819,503.183,-1798.582,-4522.5393,-6614.5125,-8483.1501,-9474.0235,-10331,-10889,-11352,-11835
"IMAGE 3.0.2","EMF33_Med2C_cost100","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",9194.140625,11050.400390625,12583.5703125,"",13980.7099609375,"",11515.7099609375,"",7428.65576171875,"",1477.94799804688,"",-692.767578125,"",-4359.0751953125,"",-5742.77685546875,"",-6853.73193359375,"",-7576.171875
"REMIND-MAgPIE 1.7-3.0","EMF33_WB2C_limbio","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9321.4476,10859.1434,12843.9928,14428.4507,10742.0241,6300.336499999999,1960.9861,46.09759999999998,-498.6343,-524.0671000000001,-517.0188999999999,-498.1027999999999,"",-391.6083000000002,"",-159.8189,"",28.7617,"",6.0265
"IMAGE 3.2","SSP2_SPA2_34I_LIRE","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9317.5826875892,10864.33704792879,11790.98097590508,13141.03651166217,12711.26246567888,12670.48970973442,12416.56915459659,14319.90242134575,16252.8737400843,17521.06380621929,16886.42327144276,14600.69243245934,12664.25228234026,10866.51468375764,8188.256900260175,6389.115334137958,5388.841351363206,5523.76385580052,5937.074065748169,7376.497030928769
"IMAGE 3.0.1","SSP1-45","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",11050.400390625,12583.5703125,"",15461.080078125,"",17823.970703125,"",19600.330078125,"",19771.490234375,"",19342.48046875,"",16674.810546875,"",12813.2197265625,"",9370.677734375,"",6265.0068359375
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_3000f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,10966.1849,11556.0808,11884.1622,12121.0783,11720.3874,10387.5524,7983.8106,6786.7249,5680.6233,4211.2408,3258.5814,"",1947.1433,"",1807.4496,"",1685.3902,"",1831.3504
"REMIND-MAgPIE 1.5","SSP5-19","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10250,11680,"",13460,"",9529,"",1958,"",-1458,"",-2695,"",-3464,"",-4103,"",-4348,"",-4339
"GCAM 5.3","NGFS2_Nationally Determined Contributions (NDCs)","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",11696.26895,12649.69478,13255.2137,13317.91328,12310.9693,11276.00493,11202.06034,10787.21632,10284.05773,10292.97525,10125.81681,9656.873164,8865.282228,8630.735133,8626.711685,8226.496257,7681.926729,6269.703608,5722.505816
"GCAM 5.3","NGFS2_Divergent Net Zero Policies","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",11696.26911,12649.69478,12775.14769,6962.330116,4224.020058,1368.304705,-280.528991,-2209.263331,-2411.790896,-2808.193352,-2995.379288,-3074.997191,-3305.408224,-3587.34026,-3685.128372,-3982.83776,-4222.315659,-4551.798862,-4276.47792
"WITCH 5.0","EN_INDCi2030_800f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",12366.20921501164,13397.24123580147,14340.31998976194,14781.44929134829,12612.65140797849,3981.306459512667,1315.496266104272,-246.9486957594718,-1460.685935516605,-2236.498123426565,-2578.017588836842,-3088.104010679191,-3749.994587505337,-4825.708447204159,-6168.051061066054,-7245.418400898845,-8561.516902629288,-9859.49087594722,-11395.87446159737
"REMIND-MAgPIE 1.7-3.0","PEP_2C_full_NDC","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9321.4476,10537.8253,11823.6361,12876.5286,12904.33,12660.57,9376.229,5508.08,2137.008,548.7211,116.5549,-189.6562,"",-407.8281,"",-402.8508,"",-275.6147,"",-204.5434
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_2500f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13340.63523463972,11939.15858661487,10968.455638068,10640.79778290952,9758.12462620021,9185.08881751713,9100.694232156811,9415.74408038087,9490.653948890427,"",8209.85829493133,"",3279.635715212154,"",-77.53828921514216,"",-537.4224005011025
"IMAGE 3.0.1","ADVANCE_INDC","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9692.8555170695,11212.5201225281,12320.8685715993,12553.9551575979,12781.3952763875,13027.4025599162,12756.8503220876,11729.186296463,10842.2966798147,9714.99466896057,8880.0798257192,8225.26796658834,7725.09797414144,7353.80450884501,7617.254734039309,8641.29956563314,10275.4224936167,12265.2422587077,14645.4218228658,17045.9195772807
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9321.4476,10537.8253,11823.6361,12392.8,9139.477,5315.482,2265.272,765.3894,173.7258,-150.3621,-372.0405,-509.6483,"",-662.4505,"",-569.1186,"",-341.0172,"",-206.5087
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_1400f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,10966.1849,11556.0808,11884.1622,11172.2029,9976.6121,6734.4998,3381.2586,2081.4194,1597.522,1160.0412,998.4546,"",1023.3573,"",1118.3099,"",1110.0546,"",939.2867
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_1000_COV","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,10987.8725,11567.6458,11045.8811,10291.0795,9587.9739,5553.5123,2450.8819,1505.761,1163.5568,947.9256,753.4955,"",646.9121,"",545.193,"",493.6626,"",514.6139
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13072.2130480934,5698.565186283488,1932.303454315272,454.9388927837851,139.8695282987413,63.75731273930025,13.59954442893317,-36.17940111975633,-48.32334620914127,"",-101.0141036438855,"",-283.3097738735741,"",-220.8587973735737,"",-220.2118357229482
"MESSAGE-GLOBIOM 1.0","EMF33_tax_lo_full","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8819.76386158977,10988.3299064438,11692.174667465,"",11342.0487315965,"",8988.17599713896,"",7193.32209638557,"",6684.63318941438,"",4562.5409020034,"",1286.85647140768,"",196.69302525315,"",-24.6856506442456,"",-459.4188047526649
"IMAGE 3.0","EN_INDCi2030_1000","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9692.664941151936,11212.23775545756,13014.99064763387,13653.96285057068,12784.58873430888,12604.53295707703,7323.315858840942,1979.906539122263,-3632.314483324687,-5807.519594828287,"",-7579.791704813639,"",-8535.97052892049,"",-8962.910413742065,"",-8927.808602650959,"",-9196.176211039225
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_noint_mc_15","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8819.76386185922,10988.3299058154,11692.1746688039,"",12421.2145221445,"",10176.1511314604,"",8715.43312294937,"",8082.27635107343,"",3523.05216346723,"",-464.597519138311,"",-251.230626067258,"",-340.040638213228,"",-243.63213748118
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_1200","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,10966.1849,11556.0808,11884.1622,11019.4684,8599.173,4560.5403,2397.4146,1580.7821,1190.9862,999.7089,878.8968,"",930.9258,"",952.6503,"",752.7641,"",215.3357
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13340.63523463972,4668.498751973439,416.5172679414344,52.08669842860179,-33.20588830772965,-169.4154145906771,-155.9978155988189,-186.6417802381741,-167.2308092016107,"",-193.739581897625,"",-406.5840537076238,"",-261.4794345147704,"",-157.8219652763835
"GCAM 5.3","R_MAC_35_n8","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10175.7134056519,11696.2662684997,12649.7136644779,14259.2290795081,5922.98168199198,-2275.18785350059,-5094.62189050065,-5396.5853217586,-5590.92870920155,-5304.78878807,-4933.18548289988,-5001.33530946611,-5517.51906375456,-6000.29268048959,-6386.79013315954,-6195.22762567467,-5805.44266818835,-5564.06318512833,-5490.01823894378,-5520.67160701752
"AIM/CGE 2.2","EN_NPi2020_600f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",11463.3257,12663.2588,14759.4334,12845.7439,9346.5873,7029.4519,4380.4016,1771.0826,718.6007,-1271.6815,-4207.356,-6689.9692,-8554.306,-9625.1401,-10447,-10985,-11436,-11886,-12356
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_900f_NDCp","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13340.63523463972,11809.65358227905,10804.14610403293,5236.383820857549,2700.684652095916,1282.908946607336,278.5057951920467,72.72436845627566,6.987597336054453,"",-75.91168169850368,"",-120.4033116594409,"",-114.9590861314756,"",-115.2793671967552
"POLES GECO2019","CO_2Deg2030","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10203.7490234375,11570.8427734375,12363.328125,12794.2197265625,13876.26953125,13347.1474609375,5717.384765625,3410.50146484375,2393.037353515625,1387.249389648438,"",199.2991790771484,"",-706.7904052734375,"",-1140.522827148438,"",-1482.167846679688,"",-1616.972900390625
"REMIND-MAgPIE 1.7-3.0","CO_2Deg2020","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9321.4476,10537.8253,11823.6361,12392.8,10200.92,6899.665,3830.481,2053.211,1360.217,944.9274,665.1706,440.45,"",183.372,"",-19.3527,"",-63.1131,"",-47.7814
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_1000_DR10p","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13279.31692947179,10067.37409306037,8075.646773868219,6087.90810787894,4821.266064477882,3220.234334500014,986.2691573619516,188.6085993300049,72.45044710560728,"",-56.41931455329659,"",-0.4544303721037792,"",-373.0848272188788,"",-351.4963414707251
"WITCH 5.0","EN_NPi2020_400f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",12366.20921501164,13397.24123580147,14818.15082113913,4964.809280793529,2113.804892975788,260.269240978277,-971.3233059293532,-2167.386349372048,-2888.223513915136,-3203.692115165512,-3582.670224527564,-4291.013449154706,-5602.873923225678,-7141.946603617168,-8377.126287015284,-9275.583303523756,-10512.45905705644,-11881.67001836846,-13488.98016713829
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_700f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13340.63523463972,7241.666951201577,4731.148588971678,4019.49349972176,3334.387861344434,2055.22830499095,901.038695170986,159.5733516756988,107.3348545060202,"",-39.12057981190886,"",-1.606543338370102,"",-52.74951119389268,"",-7.372025101072516
"COFFEE 1.1","EN_NPi2020_1000f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",13045.405013,13564.533749,11956.4848885,11530.744281,9550.1448835,4935.557117,4394.283234,3196.660762000001,1089.042605,"",-477.93109,"",-487.24746,"",-163.217081,"",273.295942,"",379.43745
"IMAGE 3.0.1","CD-LINKS_INDC2030i_1600","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9692.7121480306,11212.3444080353,12851.5892823537,13977.3072401683,14345.8592096965,13030.0242900848,8596.503734588621,6844.68750158946,4298.87692133586,294.312623639901,"",-2723.13251097997,"",-4675.35920937856,"",-5950.534145037329,"",-5813.8960202535,"",-5824.39736525218
"IMAGE 3.0","EN_NPi2020_3000","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9692.664941151936,11212.24125226339,12902.72482236226,13406.83658917745,13645.75672149658,13518.27804247538,13727.16760635376,13763.65065574646,14478.80864143372,15036.00978851318,"",16118.58240763346,"",14975.75283050537,"",10354.86117998759,"",4697.990099589029,"",3212.683359781901
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_noint_lc_15","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8819.76386185922,10988.3299058154,11692.1746688039,"",12421.2145221445,"",9410.608472151343,"",8375.85202705966,"",8336.088900449897,"",5033.631095909627,"",-364.9634175194251,"",-1083.701024958694,"",-817.3100453577956,"",-262.2661612423668
"REMIND 2.1","R2p1_SSP1-NDC","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,11042.9875,11579.018,11648.6893,10931.7267,10178.9364,8567.7378,5951.3313,3819.8323,2435.0837,1523.7958,1110.8603,"",924.8977,"",908.8521,"",859.5299,"",829.1054
"TIAM-ECN 1.1","EN_NPi2020_1600f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9503.624508463185,12952.57192110124,"",11666.01013792282,"",9297.686233093124,"",3648.84149264126,"",1557.387317563001,"",-501.189946530849,"",-1978.603269148904,"",-2453.2235728056,"",-2373.500514815167,"",-1252.899901503749
"IMAGE 3.0.2","EMF33_Med2C_full","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",9194.140625,11050.400390625,12583.5703125,"",13998.73046875,"",11998.1103515625,"",6264.341796875,"",-191.611099243164,"",-2768.19897460938,"",-4830.24609375,"",-6031.73681640625,"",-7175.9140625,"",-8060.10888671875
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_1000f_COV","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,10987.8725,11567.6458,11045.8811,10291.0795,9587.9739,5572.2955,2470.0544,1511.5847,1165.8945,954.7148,769.5189,"",675.6026,"",541.258,"",277.2441,"",-120.9024
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_1000f_DR2p","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13070.87423099472,6542.191001049449,4119.636997765363,2923.853609651079,2183.387610104201,1464.10942477827,849.9800216721655,255.8170380783671,134.1055276544728,"",-15.68820887822857,"",-108.3460671018242,"",-20.49850895656415,"",-9.656062146261782
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_1400_NDCp","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13340.63523463972,11809.65358227905,10804.14610403293,6624.73254249091,5213.769130670705,3964.489751021564,2634.86458047878,1344.466291043593,438.7974542403995,"",49.31003294907566,"",-226.3734624311309,"",-347.2457069985922,"",-524.9954389229872
"IMAGE 3.0","EN_INDCi2030_800f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9692.664941151936,11212.23775545756,13014.99064763387,13653.96285057068,12811.94949150085,12683.60098203023,7629.254897435507,2640.769183635712,-3469.136039415995,-5801.128745079041,"",-7362.453858057657,"",-8878.704706827799,"",-8837.693293889362,"",-8487.820386886597,"",-8581.070582071941
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_CB500","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8819.76386185922,10988.3299058154,11692.1746688039,"",12421.2145221445,"",4439.38214726048,"",1176.55488912723,"",164.708060314599,"",-842.599612530907,"",-446.504036995127,"",-271.878606469101,"",-107.633303997059,"",-76.2044577411147
"POLES ENGAGE","EN_NPi2020_900f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10203.7490234375,11570.8427734375,12363.328125,12777.8701171875,12781.3759765625,10655.078125,7607.97802734375,5233.8779296875,3247.24169921875,2112.057861328125,"",555.9420776367188,"",-611.040283203125,"",-1350.373168945312,"",-1808.321533203125,"",-1811.0654296875
"GCAM 5.3","R_MAC_60_n8","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10175.7133376813,11696.2659975859,12649.7131974087,14259.2271708941,12542.0423238007,9113.11160501341,5023.07706551324,1383.38802461413,-1130.53347236413,-2498.71245570657,-3611.26464127327,-4790.45075677915,-5225.92706150039,-5494.49728719608,-5770.09785580095,-5520.32018517641,-5028.95360125002,-4766.24293058276,-5130.45247193206,-5480.19321902342
"POLES ENGAGE","EN_NPi2020_2500","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10203.7490234375,11570.8427734375,12363.328125,12777.8701171875,13707.7900390625,13816.9296875,13211.927734375,12776.5390625,12319.119140625,11424.6162109375,"",8661.1640625,"",6661.8671875,"",6830.98779296875,"",7731.6416015625,"",8678.08984375
