"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.2","SSP2_SPA2_34I_LI","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329979472156,206.7695297488788,261.3653640189947,113.4401783450257,275.7287944607263,259.3342662093364,244.0225457373569,230.3029919873431,224.1458955114206,232.8152284237796,233.3383560392789,228.2707194694773,215.9652412134046,205.4861200539316,197.7831485550598,191.0780233815173,183.5300177502585,177.3652446927935,172.766507929375,169.6556074078138
"IMAGE 3.2","SSP1_SPA1_19I_LI","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7693794955034,261.3654186565857,113.4409432713004,280.4711461322174,270.1616610335539,251.0436400999362,231.3962082278485,213.450190941029,206.3230040360302,192.4181605553712,175.7465650797714,154.6146844964714,135.1484991732912,110.2767232905742,83.31103002789017,66.81202104301661,55.77348266303932,46.60945758647256,41.87894178314252
"IMAGE 3.2","SSP1_SPA1_19I_RE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7693521767079,261.3655006129723,113.4405403190664,292.6457946765231,294.1100001602517,289.3907601897744,280.7968954500519,265.1309867940969,255.3851977222868,233.6503366841692,199.3534056030146,145.6711664928304,93.54099011278166,48.94556291846346,17.52509782250102,3.08669393444555,0.0005425819865006,0.0004365995423369,0.0003517604696732
"IMAGE 3.2","SSP2-baseline","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5330252660112,206.8775892445761,261.3526334602802,113.3548139387104,332.1634158794055,370.4345350800944,412.1560727931234,462.5162780705351,535.872325349886,639.0728454376091,714.3319200131992,790.1387910766475,862.4025782733363,927.9874663401864,981.9660187660274,1018.687615884565,1036.998639598387,1040.691266551848,1029.403468066656,1000.125914903008
"IMAGE 3.2","SSP2_SPA2_45I_LI","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329979472156,206.7695297488788,261.3653640189947,113.4401783450257,275.7288217795218,259.3342662093364,248.287829282603,234.3482772722301,233.3691170030396,246.8283499505001,253.2014698020329,256.1957463854998,253.4991080792728,253.0688097309657,254.022700114296,254.3145741256802,251.072324835237,246.202585620215,241.0102114300483,236.0761091327705
"IMAGE 3.2","SSP1_SPA1_19I_LIRE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329979472156,206.7695297488788,261.3653640189947,113.4401783450257,288.4780665500951,277.4591123316595,257.5325916444931,231.7310273857973,205.610202023204,192.8018803573089,183.9679926801078,172.4180020548685,135.0752711418877,92.4087967807616,51.49767455181744,19.63647703508236,3.611322376274049,0.00002053932890620151,0.00001824848272657303,0.00001629348226857841
"IMAGE 3.2","SSP1_SPA1_26I_LI","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7693794955034,261.3654186565857,113.4409432713004,280.4769650356641,284.2110346019355,267.1314329151767,256.6268096600815,250.9333541224037,256.6333115334164,249.9586741356792,241.2652597050653,232.0634151709443,222.257306198616,210.6282140009354,195.5870452204333,177.5501246415058,158.1094960515389,138.1991207725276,117.0820196576063
"IMAGE 3.2","SSP2_SPA1_19I_RE_LB","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7695297488788,261.3655279317678,113.4401373668324,302.4764359272323,298.6296763294222,298.7867594036883,283.5481986661237,256.7620103791324,239.7151639282076,224.24039122514,216.0367754794856,185.867290960758,143.6524167787492,98.03225473460668,54.86345260592368,22.40549990490116,5.622268732527401,0.6574135283993917,0.00005840303234152031
"IMAGE 3.2","SSP2_SPA2_19I_LIRE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7695297488788,261.3655279317678,113.4401373668324,300.9338528191438,320.4341183397408,298.785338826321,270.1137165474084,234.8845998659678,208.9330827386378,204.5578000632122,227.7317469525737,233.8524957710508,209.7998125048471,156.4778536700404,89.58007892787224,34.88963283915601,8.224223508315896,0.8344845701534827,0.00006458378425236077
"IMAGE 3.2","SSP2_SPA2_45I_D","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7696390240609,261.3653640189947,113.439700266104,306.527540115566,330.4523304405216,355.8113302117199,382.4769606540613,429.2001873644958,508.685479607732,573.767319373793,649.9580741519521,722.338840431077,785.1506522018221,830.1303933818807,852.6693831662631,851.3185780027568,835.204313274653,810.118446821109,786.7973745584502
"IMAGE 3.2","SSP1-baseline","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.76946145189,261.365172787426,113.4397344145984,310.9421208783536,328.3297146658561,343.1038831982992,355.1321029985933,371.1231326400859,397.8567868832833,401.316657698875,403.2915334273438,404.8843284816065,406.1067899437385,404.5580054690658,398.5223000610566,387.796203330644,373.23916458503,355.2349855825387,333.8214482173807
"IMAGE 3.2","SSP2_SPA2_34I_D","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7696390240609,261.3653640189947,113.439700266104,306.5275127967705,330.4524943532948,348.8848135192466,367.450967464473,407.0689306033171,465.5023863341402,504.058495209741,549.1419931752017,591.0604447663716,627.4070094599479,653.4095307785221,664.5253847646834,659.1482262415886,644.0727313945099,620.6489404606788,592.2458619417723
"IMAGE 3.2","SSP5-baseline","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7696390240609,261.3653640189947,113.4396661176096,375.563830171395,494.0664818338683,645.6175000062404,890.48520732074,1212.112774561765,1642.987877279871,2022.089382196512,2378.601849295369,2674.443205440783,2903.850496079263,3069.208542784919,3157.954852073382,3163.27174533355,3071.117580216174,2874.107758465425,2593.641638991584
