"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.2","SSP2_SPA2_26I_LI","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579429700959,692.9537126803533,808.4665817012235,465.913909840223,1091.520883863059,1156.415746962851,1139.489021255848,1103.4737379362,1078.548301109374,1064.678193477224,980.523921017577,888.5634666495664,809.1616674751521,771.0050481762054,748.4884188259599,714.8638306214598,679.7626615188584,641.7707882163224,594.2752523267104,555.4288129516725
"IMAGE 3.2","SSP1_SPA1_26I_RE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9536853615579,808.4665338933313,464.8255768344175,1101.622698307844,1191.087355324625,1257.566838329119,1321.893149486154,1319.48143255785,1328.461585066289,1270.443839446963,1155.063418776494,889.8679937734541,626.9808635685606,369.5708172110917,150.4188103272419,28.57653707680861,0.000193228779439,0.0001717034219406,0.0001518782667177
"IMAGE 3.2","SSP2_SPA2_34I_LIRE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579907779881,692.9540951434907,808.4666021903201,465.9132541891303,1165.349177501245,1334.29999413302,1459.771165136086,1673.700841916764,1882.660396568265,2109.53431968197,2286.930557548286,2432.745065761234,2250.705015118884,1856.68302903067,1295.514591776883,702.3694633834315,262.2670708074551,59.56043910510777,6.585931526095153,0.0002791057559398
"MESSAGEix-GLOBIOM_1.1","NGFS2_Current Policies","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","","",0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,"",0,"",0
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_noint_mc_15","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_noint_lc_15","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"AIM/Hub-Global 2.0","Baseline","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","","",855.2693999999999,982.9996,1150.4623,1318.7367,1478.6832,1621.0024,1759.5823,1880.0442,1989.5136,2097.2128,2189.5058,2247.8278,2254.1539,2227.5667,2189.6027,2147.1585,2105.1883,2073.4163,2076.1468
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_CB500","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_int_lc_15","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"IMAGE 3.2","SSP2_SPA2_26I_D","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9540609949963,808.4665817012235,465.9129605120785,1173.906639945931,1339.978574586535,1419.033145040133,1492.273442582847,1582.381839697368,1699.073296194758,1685.098707829125,1696.1058193497,1743.659646719263,1823.474157767365,1896.680101924706,1914.566386665112,1860.844842637866,1743.943113371324,1601.80906841813,1470.490766822862
"IMAGE 3.2","SSP2_SPA2_34I_LI","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579429700959,692.9537126803533,808.4665817012235,465.913909840223,1091.525869543242,1156.380997454944,1171.468608187838,1209.789160749028,1256.157461668008,1323.92401508605,1272.409768269897,1189.036806532553,1092.767925411464,1021.671764024591,972.7449076513628,930.6543817968828,887.8950030418765,856.2912612690141,833.2540449512529,818.5597224284293
"AIM/Hub-Global 2.0","2.5C","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","","",855.2693999999999,982.9996,1148.6316,1300.7386,1463.3867,1607.294599999999,1742.5419,1843.0237,1928.9118,1986.6412,1995.5806,1968.9022,1911.914,1862.1511,1808.4417,1757.7709,1707.3,1661.3603,1631.5087
"IMAGE 3.2","SSP1_SPA1_19I_LI","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.954129291985,808.4665612121269,464.8264715249709,1069.866524485653,1078.617219600783,1058.074748860624,1028.173411979368,986.4277995777826,972.3507793883302,890.5157429044375,801.2599312497426,710.9998601824692,638.7875962341395,545.475711785175,434.9250970803707,366.0965323160115,316.8264101547434,269.8387494556044,244.526417016861
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_120","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
