"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.2","SSP1_SPA1_19I_LI","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017694,3.805476,1.647219,4.107566810546875,3.98221269140625,3.764506703125,3.554487296875,3.357902796875,3.27114059375,3.0454,2.809853093750001,2.569840312500011,2.345100093750062,2.153819625000303,1.964972312526577,1.788482147325849,1.628679381744206,1.507544881481587,1.419053705694616
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Base","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",15.156,19.3597,12.5174,16.7717,15.4081,16.6789,20.5849,22.3492,25.8629,28.885,31.6371,35.7799,"",44.1018,"",54.2621,"",65.8147,"",78.1888
"REMIND-Transport 2.1","Transport_Budg1100_ElecPush-LowD","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",15.9726,16.0077,19.5176,28.7427,31.1098,28.6626,26.0487,23.0688,19.7149,17.8546,16.2777,15.7412,"",15.5285,"",15.0173,"",14.3087,"",14.0882
"IMAGE 3.2","SSP1_SPA1_19I_RE","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017694,3.805477,1.647214,4.286244720703125,4.33512548828125,4.325127296874999,4.283611296875,4.12460490625,4.0606981875,3.8449805,3.681483,3.692481125,3.623939,3.4481026875,3.203756796875,2.87429176953125,2.487081653110379,2.129290159329478,1.841294963913802
"IMAGE 3.2","SSP2-baseline","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403347,3.019236,3.805291,1.645983,4.824107,5.373577,5.974117,6.700874,7.757879999999999,9.241068,10.31991,11.40495,12.43702,13.37103,14.13724,14.65641,14.91296,14.96108,14.79552,14.37421
"REMIND-Transport 2.1","Transport_Budg1100_Conv-LowD","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",15.8833,15.9195,19.4217,28.8623,32.461,32.7648,31.0934,27.5013,23.6952,21.6835,20.2093,19.0823,"",17.7229,"",16.3914,"",14.7225,"",12.5526
"IMAGE 3.2","SSP2_SPA2_45I_LI","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403347,3.017696,3.805474,1.647208,4.0516191796875,4.0476995,4.00266140625,3.820969,3.82800509375,3.9915146875,3.9495681875,3.891610703125,3.846898296875,3.84009890625,3.85012790625,3.849887703125,3.797655203125,3.729606296875,3.66328140625,3.59893390625
"IMAGE 3.2","SSP1_SPA1_19I_LIRE","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403347,3.017696,3.805474,1.647208,4.2218766796875,4.08986801171875,3.869278296875,3.54963540625,3.17676909375,2.997727796875,2.88348,2.8818932890625,3.03831240625,3.081222796875,2.943502109375,2.70679090625,2.4223266015625,2.130720311128201,1.885230277294972,1.69318924833873
"IMAGE 3.2","SSP1_SPA1_26I_LI","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017694,3.805476,1.647219,4.10765108984375,4.18293676171875,3.9454942578125,3.832726203125,3.7917495,3.890396796875,3.77597809375,3.641839203125,3.522262703125,3.42153459375,3.31732990625,3.18656190625,3.016367,2.8217665,2.615585125,2.399222375
"IMAGE 3.2","SSP2_SPA1_19I_RE_LB","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017696,3.805477,1.647208,4.41654741015625,4.529227203125,4.6824816875,4.55921690625,4.190700906256673,3.918800106344769,3.583731976593107,3.4197760078125,3.603416296875,4.003399882812499,4.4832210703125,4.908880931640625,5.174688529296875,5.214368967041016,5.104064189727783,4.961114843578224
"IMAGE 3.2","SSP2_SPA2_19I_LIRE","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017696,3.805477,1.647208,4.392691119140625,4.83520859375,4.83008690625,5.019811,4.941130000000016,4.942859000000018,5.099097000000019,5.60372509375,6.480214999999999,7.375356,7.955408374999999,8.043358999999999,7.689697890624999,7.0864615234375,6.459327306152344,5.93935709004201
"IMAGE 3.2","SSP2_SPA2_45I_D","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017698,3.805474,1.647201,4.471913560546874,4.887800328125,5.4423708125,5.9825283125,6.814087499999999,8.1549251875,9.190621625,10.247669,11.193809125,12.018807,12.612157875,12.917363875,12.939151375,12.794396125,12.474772875,12.1274233125
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_def_Budg900","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",15.3366,20.0955,12.8543,15.952,14.099,13.939,15.8681,14.849,15.7354,16.5626,18.3183,21.0185,"",26.2641,"",32.1611,"",38.6306,"",47.8509
"REMIND-Transport 2.1","Transport_NPi_Conv","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",15.8833,15.9195,19.4181,28.8539,34.4349,35.6987,35.6679,34.4739,31.7087,31.753,31.8104,32.2228,"",33.0169,"",34.321,"",35.9356,"",35.8357
"IMAGE 3.2","SSP1-baseline","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017695,3.805472,1.647202,4.551474009765625,4.8093195,5.038498988281249,5.248974453124999,5.519787593749999,5.951383296875,6.03518609375,6.09422240625,6.1478581875,6.192851999999999,6.20243990625,6.1391603125,5.98662240625,5.7530343125,5.449237,5.095928
"IMAGE 3.2","SSP2_SPA2_34I_D","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017698,3.805474,1.647201,4.471913390625,4.8877971875,5.3381938125,5.77042240625,6.538767624999999,7.690046874999999,8.438934999999999,9.122901,9.666138,10.075955,10.295733625,10.3217298125,10.149061625,9.895256375,9.535347875,9.136045
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",15.3366,20.0955,12.8503,18.5073,15.8965,17.4824,21.8633,23.591,27.0913,29.9153,32.2991,35.8712,"",43.122,"",52.4019,"",63.5064,"",75.3257
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_def_Budg1100","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",15.3366,20.0955,12.8533,16.5466,14.8198,15.3403,18.0867,17.9665,19.4587,20.77,22.3249,24.1453,"",28.5588,"",34.5957,"",42.5278,"",52.6118
"IMAGE 3.2","SSP5-baseline","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017698,3.805474,1.6472,5.475962890625,7.2210505,9.452955078125,13.0439218984375,17.73108209375,23.954316,29.3751735,34.44767409375,38.6440066328125,41.8971395390625,44.259501328125,45.54850221875,45.6745452890625,44.50535559375,42.1451393125,38.83143100007086
"IMAGE 3.2","SSP2_SPA1_19I_LIRE_LB","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403347,3.017696,3.805474,1.647208,4.05127023828125,3.7677266875,3.47662759375,2.9287968125,2.26025300000723,1.808769697537199,1.46744645225358,1.2817839296875,1.318064296875,1.397230140625,1.471445390625,1.524740966796875,1.523903977294922,1.462100257392563,1.389005239521474,1.322955225204624
"IMAGE 3.2","SSP1_SPA1_26I_LIRE","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403347,3.017696,3.805474,1.647208,4.2219670390625,4.28648719921875,4.05126244140625,3.83266228125,3.613524703125,3.5974013984375,3.6117165,3.702341703125,3.8624867734375,3.8244428828125,3.5088819765625,3.115215921875,2.717496362304688,2.358712487106103,2.071532419598705,1.852852366341665
"IMAGE 3.2","SSP3-baseline","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403347,3.019236,3.805291,1.645981,4.894867,5.482828,6.124080999999999,6.737928999999999,7.516210999999999,8.495360999999999,8.885958,9.148855,9.301733,9.372821,9.354519,9.249105,9.08535,8.855113,8.493119,7.916325
"REMIND-Transport 2.1","Transport_Budg1100_Conv","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",15.8833,15.9195,19.4245,27.7735,29.4767,26.2074,22.8043,18.8112,15.2519,13.4034,12.0069,11.2103,"",10.2767,"",9.698,"",9.2021,"",8.6841
"IMAGE 3.2","SSP1_SPA1_34I_D","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017695,3.805472,1.647202,4.372765470703125,4.568987570312499,4.673072078125,4.7959476015625,4.909088703125,5.177999296875,5.14723690625,5.090605,5.036389,4.985990312499999,4.9053333125,4.780480874999999,4.5735456875,4.3012908125,3.987000625,3.652005
"IMAGE 3.2","SSP4-baseline","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017698,3.805474,1.647198,5.034087880859375,5.96055358984375,7.003799171875,8.358138499999999,9.9459983125,11.922702,13.1762166875,14.1694545,14.8153696875,15.1324273125,15.12141,14.793519,14.215344,13.467399,12.578736,11.60624
"IMAGE 3.2","SSP2_SPA2_45I_LIRE","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403347,3.017696,3.805474,1.647208,4.04830646875,4.03753640625,3.9856845,3.79746909375,3.7246441875,3.9167163125,4.20514240625,4.590698296875,4.87440040625,4.841884703124999,4.443457328125,3.88136056640625,3.335082783203125,2.888376598414361,2.522998506984162,2.215484433486844
"IMAGE 3.2","SSP2_SPA2_26I_LIRE","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403347,3.017696,3.805474,1.647208,4.03763069921875,3.990538,3.8342883125,3.53598309375,3.35450559375,3.3732273125,3.43733440625,3.566032609375,3.72893346875,3.7001351875,3.41693109375,3.054956890625,2.6764899140625,2.328773349694926,2.045039310822732,1.819948276898701
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg1100","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",15.3366,20.0954,12.8538,15.9318,13.9162,14.6837,18.2245,18.0156,19.2518,19.4645,19.5848,19.825,"",21.3718,"",23.6766,"",27.1853,"",31.4435
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_def_Budg1300","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",15.3366,20.0955,12.8518,17.145,15.2011,16.1295,19.4217,19.8963,21.8158,23.3587,24.7325,26.4619,"",30.8457,"",36.968,"",44.5395,"",53.2844
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg1300","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",15.3366,20.0954,12.8522,16.2444,14.3392,15.4794,19.2729,19.5988,22.2759,23.1151,23.2249,23.6999,"",25.9155,"",29.1973,"",34.1505,"",40.5452
"IMAGE 3.2","SSP1_SPA1_26I_D","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017695,3.805472,1.647202,4.3727654609375,4.50300558984375,4.554924453125,4.604735296875,4.6051245,4.7310521875,4.574986,4.39540640625,4.2302666875,4.082713625,3.944371,3.754543,3.48473,3.153177,2.823624000000002,2.520541000000005
"REMIND-Transport 2.1","Transport_Budg1100_ElecPush","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",15.9726,16.0077,19.5188,28.0915,31.0305,29.2113,26.9082,23.4996,19.9947,18.0027,16.4267,15.3568,"",14.782,"",14.7336,"",14.334,"",13.3652
"IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403347,3.017696,3.805474,1.647208,4.11559808984375,3.814474203125,3.536123,2.97095140625,2.271221796885658,1.798661009665418,1.44243304768122,1.2538107109375,1.290869609375,1.3716714609375,1.44857060546875,1.506354603515625,1.512123697753906,1.456959260062223,1.386311237372529,1.318112216503393
"IMAGE 3.2","SSP1_SPA1_19I_D_LB","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017695,3.805472,1.647202,4.1941851484375,4.06133340625,3.97200859375,3.60337890625,2.9881885,2.51212790625,1.965246507629394,1.541183073242187,1.256204278320312,1.103856990234375,1.044589302734375,1.02190256640625,1.009495771484375,0.988584625,0.95706844921875,0.9143104501953124
"IMAGE 3.2","SSP2_SPA1_19I_D_LB","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017698,3.805474,1.647201,4.411528949218749,4.531176796875,4.674551999999999,4.5250755,4.1872095,3.89329809375,3.354816813964844,2.875650832763672,2.505687390625,2.291529501953125,2.232637009765625,2.268121072265625,2.34748783984375,2.430635328125,2.499722109375,2.546241419921875
"IMAGE 3.2","SSP2_SPA2_34I_RE","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017696,3.805477,1.647208,4.390922499999999,4.75742109375,5.12452059375,5.5142313125,6.1568543125,7.204968999999999,8.163276,9.255952796875,10.417973125,11.1679763125,11.176458,10.55003459375,9.541229171875,8.515184986328125,7.585492195800781,6.881776065181843
"IMAGE 3.2","SSP1_SPA1_19I_RE_LB","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017694,3.805477,1.647214,4.19421201953125,4.056687296874999,3.9697521875,3.603854,2.984824000004868,2.506328688885945,1.973405595738691,1.618085703125,1.5650974296875,1.60689842578125,1.6921697265625,1.762996327148437,1.752801933349609,1.651276281601497,1.53311426549033,1.422088249778642
"IMAGE 3.2","SSP2_SPA2_19I_LI","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403347,3.017696,3.805474,1.647208,4.08097653125,4.084536296875,3.962598,3.4298208125,2.969390625,2.393337375,1.753648822998047,1.278657522827148,0.9564380832519532,0.7774233876953125,0.688310056640625,0.6426089033203125,0.6191888476562499,0.60362428515625,0.59185778125,0.58325750390625
"IMAGE 3.2","SSP2_SPA2_19I_D","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017698,3.805474,1.647201,4.471272859375,4.885639687499999,4.9404455,5.1642973125,5.218233,5.249348,5.053970000197618,4.870854003821309,4.63931502699341,4.4479490770156,4.353101870269298,4.246326972309112,4.040922745117188,3.7724771328125,3.5227099140625,3.3428969921875
"IMAGE 3.2","SSP2_SPA2_19I_RE","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017696,3.805477,1.647208,4.3900589609375,4.76100290625,4.78264259375,4.846229999999999,4.424634008819378,4.047041012007489,3.99046001448052,4.4893053984375,5.429847,6.389914,7.0620105,7.312129124999999,7.15253990625,6.70053334375,6.169126874023437,5.710520809092902
"© AR6 Scenario Explorer and Database hosted by IIASA https://data.ece.iiasa.ac.at/ar6"
